Protein	Individual_Vital_28_1	Individual_Vital_29_1	Individual_Vital_30_1	Individual_Vital_31_1	Individual_Vital_32_1	Northstar_QC_P1_1	Northstar_QC_P1_2	Northstar_QC_P2_1	Northstar_QC_P2_2	Vital_QC_P1_1	Vital_QC_P1_2	Vital_QC_P2_1	Vital_QC_P2_2
B2RUZ4		869951.3749999775	269990.9999999982			1184793.1249999923			698159.750000016	426661.12500001345	1212235.0000000354		856072.0624999985
B9A064	28596474.033248115	24308860.144174203	13015306.856434362	35051432.73319558	13293648.36228434	19065311.21402193	39379891.14147863	19423111.81282794	16961525.189514507	27806508.94453105	27673789.554402944	17320712.990593337	31282880.36679081
O00116	154683.9136049403	130544.59309559476	260580.47975390914		99423.08582281439	298465.9473024657	308898.15583127335	140646.1704774109	524573.4396431783	439973.7576397416	573023.1875000115	302400.0941447934	313824.25741417013
O00161	146079.4530999976		149176.2656000039							166642.21880000402	338965.4999999986	410884.71879999794	173133.71879999794
O00264	520340.062500016		1046370.2500000347			764306.875000024				841554.5625000262	696875.6875000003		625358.8750000126
O00299	1150606.436545047	1729683.9084341086	1965714.7499999567	2713740.746110964	798416.5083810205	1951699.8008198442	1909380.2278191785	1136623.87009683	1734371.5419833618	1504767.700094334	1804398.7163083637	2009440.7502809297	1769266.682860379
O00300	1581677.4194737957	2472542.2499999856	2269747.968930959	1670536.7052417826	1034118.0595625109	1393377.551207909	546284.5569648698	306969.2649100325	712485.785927395	719859.7703921846	862967.3692059737	314243.45840300596	405573.92794950085
O00303	497393.836564307		421879.15346140036	202094.54673545298		256550.67637060166			191989.51218328223	614460.6249999803	548476.7498606085		385360.7542470236
O00391	1340794.2507857718	844216.9270833001	435012.3799495432	1583169.8913860144	1189752.6023516438	1056050.7331307335	1326731.196142854	307563.9824292357		520557.7402362934	933645.3823632583		
O00462		602744.3750000183		1138494.0000000375	579953.8125000042	870048.5625000271			743989.7500000171				
O00487			798844.1809742568					807701.5153909079	815252.0450092345	652587.1420240504	700640.5195785207	634551.795684277	
O00584	1307955.4871979577	787633.8371946457	983395.6004683339	466491.43718046794	571885.8933109898	922236.7549223328	1017385.6197823428			864176.2870728483	751834.7904446144		
O00625	254121.6875000015		183276.65620000492	286871.3750000073					156090.10939999606	230101.73439999446			140748.73440000112
O00629	72054.34375000234		92134.62499999913							107542.5156000017			42843.746090000466
O14498	539867.1522187943		461408.16513772315			356316.7472673411			534264.3233860508	747757.67030518		575020.5436028406	862079.6062574747
O14672	1404109.3450196171		1427221.0003763863	2018851.2907341497	1170821.4373607072	1926589.1098251469	1639888.2803185016			838932.3910017357	1364588.7811998746		957267.101763234
O14745	250856.48440000642	370407.2951992017	363929.5000000007	567129.8124999824	227511.67802718983	491383.40619999846	422460.52879268414	137199.8073829277	530427.5358812013	473159.12690017995	492773.9269102765	365026.46642011224	595479.8125000075
O14908							278747.5937999917		331752.2499999998				
O14978								4118285.7499998766	973618.8749999821				
O15143	126077.22462576536	155430.45409403433	224248.09778966635			127090.19280476077	121284.96156282091		148208.47120922897	385003.8342256695	338802.82757736463	269087.5166040215	376445.91952091316
O15144	1040668.6249999696	1042209.1553581107	1258256.688042544	659502.4701734375	427267.2172343182	938209.4685322635			504722.1001433238	1662846.208789792	1559900.4349616033	823974.745594624	1149613.6461192188
O15145	1401116.8749999513	1790507.2499999595	2532512.2500000005	589755.7499999853			881707.0000000262			2551756.7499999497	2723701.5000000717		1564298.9999999746
O15305	306419.7188000039	381500.1561999969	127241.16409999825								275469.8125000056		
O15372	340340.84379999025		424314.9375000111							411161.4687999924	327370.2188000081		227679.85939999574
O15498	578706.2564300883	1233657.6985281764	901640.4313991576							1079258.232216596	1021702.9426463601		590708.3373893807
O43175	1067611.1122282073	791297.5830914966	1661114.150420079	996928.3756526732		1385728.3940365405	886259.3617756744	1524302.1459041066	1543441.90626773	1452811.8007765254	1470049.5721834924	1577250.3470249583	1405958.3607303293
O43242	502124.06250001385						452717.2499999986			968479.0625000257		683097.3125000105	373244.7187999915
O43290			335936.625000009								360988.31250001077		278960.37499999034
O43396	672355.4999999923									573845.124999994	696016.4374999938		
O43405						949535.459346832	1244694.9762161803	928360.918873941	1110424.856886019				
O43488	1463478.15207172	2007876.398527682	1551635.12021453	1358758.8750000424	606986.4661302821	1311354.9587590205			428051.898271517	1405229.756284337	1662527.2249705319	290246.66850811837	980511.0929229397
O43505	171845.23440000246									150532.82809999952		119946.2733999969	179636.0937999973
O43633		169985.9061999983	184079.3905999938		128467.46880000434	185861.7656000032	84770.99219000185		274156.1561999949	162009.82810000164	147757.4218999969		
O43707	193450.2177778571	132419.67422010232	251353.9309309441	120725.17965724283					256780.48124643532	286461.22419366054	297345.5890214837	239523.46268568182	353314.2233461497
O43776	651259.9999999813	375669.0573533814	516707.61903861223	184266.2851902571		313863.3436955743				699663.4697748823	702598.4292157415	490839.84427290346	345247.1899728664
O43866					529781.7499999984					508585.4374999986	445996.1249999865		
O60266	102428.3749999967	539556.24999999	645083.9999999877			227048.26559999626			235086.78119999595	666321.3750000063	600718.8750000033		361994.28120000055
O60543	966471.5109263186	2386592.9409197364	1369670.8560685099	607541.6483739098	497648.75161160156	2796067.1959311455	751196.9084081047	1101512.4432971203	3403872.5302605336	1521584.2127602387	1255017.6219513877	531224.2185609125	917480.8880161805
O60547	273565.0938000017		377306.71879999945						485469.28119999386	275094.65620000893			494600.06249998824
O60568	757687.7757108571	361108.0731640249	486387.88554046914	497400.0607464043	442923.12504487677	407901.5755911113				559991.0062468173	455025.84174116416	252181.0644255239	264815.9378767449
O60603	766269.9928580421	636936.0451143074	1611143.8892618525	520260.11841094075	213289.38889376307	680300.9640814452	306934.0883182463	446794.76602560224	803000.6590484064	870999.9109996733	680991.8037837162	440082.86948174954	630405.5656240673
O60613	859880.4999999785		717424.8125000042		898913.0000000088	753086.812500023			1206503.2500000335	640740.6249999936	457079.906199991	743506.250000019	
O75083	1165582.4350868568	1833070.6241543067	1608289.8003956517	837791.5067960913	346836.4667113731	1210316.3040009611	709558.32364881	383468.2173279559	1011114.3537760039	1854490.304537734	1724183.655978053		1589265.188488763
O75131	168319.15012456255	159311.64717219802	154486.70595178026	145367.2352095298		155185.49687029325		273738.39931994193	184154.0091233313	257453.7969000015	268850.7081188425	403077.5630478792	148318.5952267211
O75223		193970.9688000023		176593.14060000345		260971.59379999814	160724.00000000335				224019.50000000093		
O75348	77553.03906000132					159301.99999999758				99356.02343999779		195703.20310000412	
O75351	573879.210932486	535507.557670932	504889.68144657987	620937.423115171	582705.107918737					608371.6743916931	698764.6846137585	525595.209314504	564785.7679159434
O75396	325875.35220904223	458047.83910720644	424169.2046605256			430627.19144288724	377125.2444728381		563174.5779216778	710746.4791367427	760558.6122593563	352277.51227265986	462982.68006275734
O75607	296343.5938000065	3496265.2500000866	562085.6875000048	3063653.000000074		4940141.000000063					2282996.0000000237		
O75695		1043723.0620000357	776085.0000000042	770765.6249999761						695587.3750000207	847186.0624999783	1082607.749999998	
O75874	2022541.640607693	2455679.452395402	2266293.867534937	1951254.8708266695	833838.1565769035	2096320.332752163	871243.571293614	696110.1607902659	1380339.9196615026	2159620.124289658	2142986.058520369	873439.0993592315	1652134.6804933967
O75915	465679.77968744	571783.0403281692	1039510.9619672024			949894.860024339	539671.6286247753		828466.1718481387	988470.9383071382	1036298.4383629778		793388.3224500653
O94760	372873.34379999986	1485475.1250000114		858663.749999983		985958.8125000295		545729.7499999938			656659.1874999788		
O94832	170246.6526686433	506902.87499999336	163964.14111278052			126201.1094000013			234722.35133409756	282922.1250000082	293058.7644511023		239536.17190000205
O94903	523883.5311999939	709220.9375000253	472826.3124999867	506227.9375000068						535864.124999991	440280.2499999957		
O94905	316718.4124794969		218208.16880439964				294483.6019615755	257108.02983411797	331743.4707624001	554100.2971330025	551744.8535211079	233104.28905578173	335273.43596006744
O95164	271039.06249999674		674979.2500000087				713514.4999999881			638997.0625000201	560893.4999999865	707904.5624999789	
O95292										380930.15620001184	379519.59379999724		
O95336	928162.4679204518	796690.8314176816	681996.3322716155	574327.9435316094		629360.9151005995		677011.8900310152	765596.1764832065	1291296.4436729692	949967.6868196467	1471590.985553586	905334.33458431
O95372	527696.8041005823	468999.90901916975	631727.9952780532	438745.49548832496		428449.57514129387			356539.1718826041	611180.2580167168	551539.8694115095	204734.33638485134	350995.82568472944
O95573	573500.9747546191	433202.4089006866	705076.0489810607	124119.99576550511	173936.41674095267	322568.21550114953	238178.37919823005	183426.00646796764	335132.36080507684	632354.4693231493	725445.125986398	335870.1711030899	362964.82669292606
O95747	621498.8124999831		910393.1875000066			551714.2499999922			737737.4374999931	854676.3124999973	799548.9999999843		862147.187500004
O95757		161028.90620000297	172618.78120000116								400357.0938000112	571126.3124999872	
O95865	192678.74999999843	287503.96879999636		290319.2812000076		228665.5938000042	252284.562499994			217170.01559999728	299896.0312000103	191245.1406000037	224164.71880000227
O95881			319615.0624999978							248399.59380000696	246233.74999999697		
O95997	1413783.4999999676											1202985.6250000123	1067945.4999999686
O95998	549575.0945983923	460835.8536683009	330253.2370450079	233779.61858267884	595883.8747393403				376149.67087541823	549356.6274796216	361959.5915461278		584312.8448988271
P00352	1342764.119152678	1897238.1369722262	2668748.3617347563	827217.0443444644	603090.4582754524	1482108.9943754054	763051.8871406307	1048190.1898493618	612379.4644965098	1319533.9949941775	1047952.6247453793	1579739.390956641	823975.9503988764
P00403			1397134.5000000058							1305861.62500002	1416892.499999958		1240978.1249999844
P00441	1477543.8749999835	1637706.5000000228	1132170.1249999679	1113704.6249999895	528293.4999999955	1203742.500000038		1754208.6249999474	2174089.74999997	1863339.3750000363	1253700.6249999618	2749851.000000072	2237143.250000009
P00450	1213645.1492546783	899642.8230223581	3053114.249999958	1270887.010996868	1066543.2412690383	788572.5697711919	437445.9849014293	492323.0106181863	708839.2464454058	1324791.6198307632	1379917.4635629086	761180.0366283766	1239296.283447033
P00491	1107234.0612924972	1052975.4189658142	1205957.2469320067	693801.9662922189	314270.48302344774	902011.0995807197	377144.45109275356	462766.85836523975	825509.0127148061	1216214.3984311514	1118783.1823485615	507281.7481206772	1003581.2548349774
P00492	238173.46293129207	503337.3749999945	614331.6222025733						157808.8437999994	431504.00000000926	320472.6199848405		230032.02986557866
P00558	596511.4374999959		506643.1562000094						530295.812500018	664102.4374999803	448547.7187999873	578371.8125000047	746285.249999981
P00568	430147.5666671035	773486.5281200425	457138.11495600385	1089121.5404959589	218255.02665069458	1166354.3360479919	419122.4033457329	442393.45454760105	705288.7169142292	563085.2446576933	846801.2168661575	253144.56995165884	502066.7644016394
P00709	2245131.4420224633	11315317.510455843	4041194.8535473724	11235040.653130136	10668874.050452	7069423.254071413	2961596.2516994737	3300952.5176035035	3680072.73780019	3768871.5978429196	3469158.4492481644	1896080.0110513517	3073600.2608102527
P00734	476943.5268448086		256029.80492527765	993391.8719439474	383414.5312339014	516886.5478087691	588188.014408616			339017.5991626072	337380.30910572957		
P00747	2041907.0800492144	1498105.828161031	1066514.871298063	2108706.0516132405	1998472.5448607497	2047923.276336919	1439344.1016627557	1925109.4268408075	1542218.2823177266	1708337.4738879327	1487701.3687553813	1745982.68027817	1682772.9610135434
P00748	324565.92429300764				537257.3125000169					389079.8437999966	494846.9688000044		289116.83844870486
P00751	1699981.846173638	1343702.600128345	956454.4660022139	1291297.3228563722	1098047.7383567968	1341212.885798092	282385.2458035862	300507.6490239234	1007257.7128454975	1559919.4848778197	1694192.4619747174	736907.1142371905	1249713.666834538
P00918		872243.7239061117	324637.95702239673		91982.81390839351	179053.69126215545			163891.37652400654	347014.33883948403	309707.9493972569	224419.66115315323	340950.2016397149
P01008	1301111.891611823	1037967.271796263	980803.6559147665	1796916.9677427078	1242791.2850601026	1172681.2131676741	400891.3687128691	584193.4573253869	1146927.3749374608	1131538.5884261264	1104545.8418944967	622681.8155006147	936142.2457549763
P01009	9895001.71943183	7685201.044064809	7344989.062180482	9041614.599227775	10208290.782408614	9361724.025548762	4476601.189464992	4440554.493070613	7621708.93077054	8220283.0352872	8757771.50427413	3708337.268958829	7663740.339360932
P01011	14672351.999999814	1851350.3972052422	20371571.087324917	1297643.6784090342	5726651.170233645	5121599.163673645	1144986.5294416691	1328502.8397536098	3307823.854866068	12702279.519173214	12472818.760982007	1801530.0052075072	11434430.133710826
P01019	1703904.786415409	726742.2952521378	1088672.1782323697	2024413.0787497908	1012427.4952210966	1102431.661865831	571717.54449593	670692.5625107792	1312074.9203646416	1058953.9180428775	877708.5718347705	823158.0338625903	877996.5726146783
P01023	761700.320999574	349145.3131666786	393471.7066276178	368522.94003373006	594044.2046654441	338181.8557303787	222959.02065990082	179611.21023057337	331671.23126730265	822875.6254879022	726629.4624131367	433186.8235988436	702935.8524367012
P01024	6335824.750608083	1332494.6648631133	4399172.7056865115	2497094.575999247	2960632.901695996	2911004.241542507	1445221.226265534	1909226.840711062	2606250.1579071474	3591769.6646670094	3537197.206995337	1945042.6057559268	3593735.344605104
P01031	547986.472070276	249545.25792926853	300044.57844057074	710468.8759690159	523059.6899753407	348620.26630311785	290631.19834608166	238938.68142480747	368496.42218343535	511423.8215872967	476300.4827607767	348689.5957525397	496025.1784283144
P01033	3846800.5330167264	3530739.7499999604	3273792.2500000033	4674038.097330268	3855331.1083491924	5680808.240991374	4338595.000000014	5815745.574539351	9494655.029088072	3659734.7499999614	2838832.7930610254	4864529.007598749	5746225.499999882
P01034	2103193.716461273	8065587.766955575	4135491.3957517683	6792693.941278899	4665453.446121968	5930358.281688218	1355746.3914957999	2916696.554929005	4852200.363095668	2839909.825461478	3200132.515160372	1338689.6717254757	1917598.6144814806
P01116-2												512660.0938000029	82267.77343999741
P01591	1532959.8328649038	957758.5867501281	1108384.6807934677	1662651.1645006055	1648142.0305453257	1895360.883317643	2552258.1370398467	1233307.2527124437	2656024.2500000075	1441497.3196018205	1426760.1836801658	3263061.74999999	1732427.124765213
P01599	1669999.3749999776	1068279.499999968			1265181.2499999818	703884.7499999924	3932391.0000000102	903298.0625000307	2063663.2500000466	1066714.3750000135	1429463.5000000123	1419162.1250000424	1041757.4380000051
P01602	12528987.000000406	6274599.000000177	3398324.7500000205	8871104.999999788	10894242.00000003	8576511.999999981	15363085.99999994	15241349.999999732	9150108.00000007	8089843.999999936	7724277.999999876	7475333.499999845	8199520.000000233
P01619	133115896.00000401	35893359.99999935	108859608.0000037	69559776.00000057	117941047.99999891	90779968.00000274	40798995.99999922	89058215.99999984	89032711.9999984	80230311.99999854	78559911.99999845	46419472.0000001	82960808.00000109
P01700	33890268.00000073	18374859.999999397	24774804.00000032	28650704.000000928	18130237.999999776	31534555.999999907	9647807.999999877	32166654.00000011	30470272.00000056	21786361.999999728	23812522.000000164	25087564.000000466	24623003.999999672
P01701	1536677.2499999942	357499.86291964335	1541244.9296356675	1855514.125000039	869715.6061261023	921667.8237793121			782802.5450976783	732751.0815810864	813887.4299679125	622557.430147018	673395.6724382144
P01703	2264165.7500000186		1536312.1250000033	2928335.4999999907	1736605.250000003	2629048.0000000345		2493036.2500000917		1845846.37499995	1947805.8750000568		1408437.249999984
P01704	3956435.7500000615	1791911.6249999907		5535841.500000107	5471430.999999813					2604052.7500000536	2985146.250000017		2022040.6250000559
P01706			1725223.3750000196			2338519.750000081	1364502.9999999537			1073962.5000000321			
P01709	1573113.8393230934	430593.67197583814	1587571.895813793	1618695.155494986	550090.4490869668	1118619.8842383139	615755.7822252491		515866.8669979458	808510.7814990086	1055267.8071756775		
P01721	898302.3414045675	242335.63112539428	595101.3470852984	780874.4133830594	424140.21985612117	587500.9263555049				189510.75911165867	245270.68962550937	273665.2135369895	243407.5418776021
P01742	2903583.4999999804				1191334.750000011	1555087.8749999693				1339622.7499999716	1326828.125000034		969280.9999999665
P01743	1162227.399778204		452969.9352842006	344091.406040009	637228.4549865723	619999.9178407089				712587.1214240376	624229.1694472906	276454.8411876597	465016.21357852034
P01780	3414286.988179914	5802706.197810523	9316358.452366568	6126977.213047928	12363004.999999994	6539312.499999887	5684401.528619791	674676.2257000299	5906780.500000184	6949067.49999981	6401700.499999934	792534.1007530309	4944415.000000135
P01817						223061.56250000707			85467.91406000215				
P01833	4811068.4035483925	4470595.337793846	3792112.300435533	4271145.49999998	4839863.406167638	5126789.434749337	3398506.644070488	4187988.884352245	4868398.813688596	3691671.740025379	3708282.888901497	1788845.3249843302	3525992.7744390224
P01834	12433491.910359059	7839842.999999933	8942414.664131157	11133630.273227694	15678124.468413241	19160258.870675705	21687050.892888527	18818129.999999765	16308973.958427446	12485563.25321742	10872166.107330704	12310633.707219996	13700698.954994503
P01857	10874999.809931451	7293257.199058204	11477725.21708612	7421368.49999988	3988440.7920039557	7813327.144607297	3079602.9465025733	4363853.305247752	7194955.63231503	9831702.644027296	11087116.178828904	14136710.318405924	10796619.079322772
P01859	4114653.7500000815	2029585.6787528016	5348535.922531804	3122467.221228735	4010934.912871566	3577546.870772521	3210754.2917671646	1253834.1943699801	2486850.644811372	3353800.5000000373	3551910.7788541727	1458447.5185050715	2775648.2362706196
P01860	2041230.1304112785	825772.6650265076	1399225.8818812429	788800.1861836867	631886.7645967792	591728.6330011534			474830.82228583493	1749506.9962083397	1643750.6721291526	213068.83975124353	1466879.9740315815
P01861	1960291.2290473734	746589.9365718836	2970148.273903447	2033144.6922332202	751389.9140330111	980346.8366079335	1048554.1132410961	1522822.5704027356	1065065.185517246	1680577.0063771172	1467456.1346813233	2004902.5064383529	2255124.1745286933
P01876	24927971.968193196	17406652.5745894	13751817.435222019	27364265.20138216	26386625.676622123	37894935.38904612	28473560.57793279	20491973.521312695	25201078.354650363	19859520.509696037	20596298.573234405	14952767.017281031	16429188.90222062
P01877	6045031.5085926	5430107.044857654	21033526.706651278	7065631.889849185	7879578.8358342815	17750712.907125857	10032847.256775813	7923869.574903748	13738267.32772019	11713025.78224199	9162886.909863664	7067128.0267785825	7671738.718635222
P01889							302394.4687999934				222217.48440000665	274914.28120000445	
P01903	703551.4955081258	452539.2868594077	898886.9208852709			269605.14071623294			365283.89427208056	838783.2894563306	807794.0259744597	563737.4062946045	862950.1251571282
P01911	386933.445184445	306600.32447389635	768646.312500025			305593.3071163407	263797.4863408			1015918.0619999848	981833.9999999661	453526.2500000014	993544.3682512604
P02511											192658.39059999722		124694.5390999964
P02533		942056.0625000066	620286.0625000139	712211.8124999838	610630.8749999817	1077634.500000017	1412783.3749999676		1148228.0000000282	1896126.1250000368	447451.84379998856		
P02647	3721347.7518776683	2822814.65292139	2298927.2761917575	5642132.937932857	4572627.17380231	5194823.123531231	3196236.62507106	2311626.0403803345	4085122.4058585265	2530181.5837906767	2968342.0824855925	1118413.780809884	1964348.6746568365
P02649	2865450.091555833	2861720.161425296	3739053.2521812427	5416053.900032049	5034618.411787123	4036334.008309533	2392587.8752432377	2168776.363500735	2910096.0710211573	2920701.1379651334	3333328.3160358807	1839003.6520060294	2887526.745665694
P02656										204888.9375000038		190114.03119999703	366550.0312000054
P02675	1745003.7818723668	937406.6374799788	665373.5394320119	836638.7072562276	880065.4345216793	1169448.9217187667	555244.794803674	444021.9426232386	907511.7878620957	2110030.794740073	1998787.95933089	862044.4744516399	1632293.9417134023
P02743	1086214.8750000196		658062.1824736394		804690.7498162274	532829.2049771672			735828.0421122538	844644.5273264361	851861.2607679769	863140.9374999902	838204.8758130095
P02746										306741.6561999933	238578.57809999885		276743.7812000045
P02747	295040.8027771595									537165.199695203	405604.7686042401	687585.4713872251	549506.8584119003
P02748	1437048.9356065297	974101.2349651408	1168759.1605703386	1045945.3892172702	1200496.1674127076	650320.9525481857	438373.6649730998	289662.64238444745	652066.4305772766	1064996.4514730016	958006.2004261748	852151.0738590425	983480.0490596665
P02749	1211283.234038711	1352325.950635138	406726.8123401654	864161.8745285393	880783.7337242841	1621160.4313273435			1088415.165514864	730734.6623130988	1055304.3446578889	291939.7067273379	186943.05660653015
P02750	1690785.5860687986	1427019.1239249809	1924129.962257864	1424779.4939716556	1624918.2662955704	1784921.0283305484	1260120.7708770374	2140096.1154776616	2063310.108445923	1592635.3991087887	1623971.887101763	1992518.7522042275	2251119.5000000475
P02760	1543717.3749999779	1507976.624999997	1087026.1250000123	1983341.5000000508	1765206.62500001	1680352.5000000289		339223.4062000051	1174219.124999972	1383686.249999988	1223628.874999968		1044749.937999994
P02763	1268602.9999999707	727559.5605328585	700485.0519706547	517451.93550447683	692117.4155722497	437936.2697741201	364727.8520291912	535065.9200871203	995056.9166257037	825539.1769420257	724593.0018512605	326453.08513776236	1263981.3467772107
P02765	6588058.618093283	5018453.629733264	5373745.674138055	9245360.66876186	7257156.437355432	6820417.531729563	4030793.9566894947	6421586.41810969	5392906.739979216	5506363.49999993	5756834.347132429	4436881.353198163	4785761.760510975
P02766	2829794.07987904	4060609.876772207	2319904.616622087	5507127.648054423	5344058.024330968	4321756.438768571	2149691.743536026	4476999.54239166	5430455.779314588	3394998.274706241	3186008.6584696695	1091766.7848642475	3794220.928703816
P02768	35335312.96976999	57607709.594317205	41764721.71270811	63864172.93333818	54034923.44854522	53752266.93250458	8705527.310523424	49092150.84449401	64700475.999999255	43774855.13054773	41169506.884356484	9238060.027059942	52196602.603280686
P02787	2071155.9416532305	995641.9949250175	1401870.4039611914	2323661.931679393	1740838.0356658385	1927137.8433974185	819607.6314161187	792335.3615446826	1194323.240506822	2456790.981755454	2676374.594679789	1023631.7527409124	2007397.038769287
P02788	5102711.657888375			4593591.472758258	5349213.881574451	3549300.6319127325	17476407.427534208	1887790.8994057106	1942301.7853232445	2609737.2172271023	2921931.75000007	4550346.389581027	1870211.3462909206
P02790	8219152.264831645	6235057.500000038	7158289.500000183	8136417.957943729	6321196.749608071	6769017.855154705	3538817.2659772695	2727965.8505355953	2956387.798669202	8571633.193550717	8529320.024129195	2272862.4622102254	5066407.916395814
P02792	384036.3039966958									865989.0108750296	1188781.8988365557		904495.0326226082
P02794	1558450.3332017597	851547.7109601283	1832946.7089676126		400636.3168781838	634086.8392294085		417965.4013543597	435185.4107216109	1630117.7010960816	1435720.832996145	1426815.7971858252	1588879.7694306716
P03950	197572.70016370062	691480.1120438072	257005.4380866423	1250414.7892450423	615508.5252872717	431163.9374999984		286367.5040604274	579979.9374999914	359968.4734234346	239506.40619999726		194111.85257420017
P04003	1642893.9903319401	208847.3501166416	47168.737000239526	1042247.1030957183	124324.48670850915					768176.2477641429	727931.2908365375	364490.4994601731	930410.3160422747
P04004	8199344.5402733805	6709409.680497653	6058961.790061916	9132101.038500646	7811012.165152647	6986361.669937261	5941766.806746249	5813373.470605863	6167663.802545941	7479549.085145498	6925647.602491419	3805798.217846737	6313374.688580503
P04040	306611.84416449006	192152.5539233225	333387.032675493	92265.96434586296		242533.85479703633	253941.8824528558	155073.93661929888	293352.122545252	523975.4062000131	426453.25489432004	367613.681005184	427549.3722264659
P04066	506726.44809094124	738612.7500000073		1965537.2900828149	279912.70328078815	3667124.4554174896	2850812.9586539753	2158382.7499999474	3157835.499999993	278782.36294932687	364239.05905220687	265323.4360080321	190360.87763581806
